23-Aug-13 Jamestown                   20 Rocky Mountain              34 Miles City MT
31-Aug-13 Rocky Mountain              35 Southern Oregon             30 Grants Pass OR
31-Aug-13 LSU                         37 TCU                         27 Arlington TX
31-Aug-13 Austin Peay                  0 Tennessee                   45  
31-Aug-13 New Mexico St                7 Texas                       56  
31-Aug-13 Rice                        31 Texas A&M                   52  
31-Aug-13 Prairie View A&M            37 Texas Southern              13  
31-Aug-13 Charleston Southern         32 The Citadel                 29  
31-Aug-13 Trinity Int'l               48 Trinity Bible                0  
31-Aug-13 Alabama-Birmingham          31 Troy                        34  
31-Aug-13 Nevada                      20 UCLA                        58  
31-Aug-13 Campbell                     7 UNC-Charlotte               52  
31-Aug-13 Brigham Young               16 Virginia                    19  
31-Aug-13 Georgetown DC               21 Wagner                      28  
31-Aug-13 Boise St                     6 Washington                  38  
31-Aug-13 Stephen F. Austin           40 Weber St                    50  
31-Aug-13 William & Mary              17 West Virginia               24  
31-Aug-13 Kentucky                    26 Western Kentucky            35 Nashville TN
31-Aug-13 Massachusetts                0 Wisconsin                   45  
01-Sep-13 Colorado St                 27 Colorado                    41 Denver CO
01-Sep-13 Mississippi Valley St       10 Florida A&M                 27 Orlando FL
01-Sep-13 Ohio U.                      7 Louisville                  49
01-Sep-13 Warner U.                    3 Stetson                     31
01-Sep-13 Bethune-Cookman             12 Tennessee St                 9
02-Sep-13 Florida St                  41 Pittsburgh                  13
